Flow ID,Source IP,Source Port,Destination IP,Destination Port,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.205-10.0.0.33-3309-80-6,192.168.1.205,3309,10.0.0.33,80,2026-09-09 10:00:00,19673620.422171,-46.505914881415215,-899.5301664048884,1194.6721589960412,-262038.06847179518,163.48635284292334,60.093414857970274,134.3386138292924,29.068509223502666,1153.982462294763,31.958611742254597,188.97983507297343,1286.2494853122328,-16870144.548323687,-103957.27923005991,28318.06052349275,-825795.1577504403,9035127.202088261,-8579527.537371783,-4696971.010101115,7592690.789029947,2090569.2166346298,7682533.8812108245,-3167250.4910306344,2802781.457691768,3179873.917429286,-1051927.2293502,5590504.859502852,-1467683.6043094837,0.02456052437922383,-0.2518557841580513,0.008084192680717556,0.018262991333503675,-71103.8105832423,47654.08692060913,-73937.79431546768,-48563.33500112014,-1.8025395032596627,-150.16844341484818,172.60633801980993,485.94038993645916,668517.1309835886,0.010509070731188463,0.020443302467184513,-0.00898850418025133,0.15950715798691587,0.2253672121133281,0.08401330177760669,0.002073989376114978,-0.009993235318169499,0.7634117193465121,119.24563787852837,9.662619773626957,450.7615054464345,72753.43181928789,0.5651486221792155,-0.30714248375439707,-0.06690666833145589,0.1802054607360857,0.4227876134142336,-0.20743315737013326,-13.56455619469614,-1800.3400129097547,-379.12334307996485,553277.6611923495,-13404.387330962929,2649.0676284742763,160.84088211806326,29382.04270872008,-161470.51083372787,-530387.2465419122,894281.6256825076,56220.45391905729,17610836.724907853,-2406561.385993084,14334617.375270667,5815677.032973031,DoS Hulk
192.168.1.136-10.0.0.8-39015-80-6,192.168.1.136,39015,10.0.0.8,80,2026-09-09 10:01:07,19533675.81459921,11.059430761168771,4.005730880281152,2508.000278707304,1491.5414207936462,1215.1614229646507,91.04493889346644,62.33970113438699,274.99769761760933,1445.2664847563588,9.586809034943215,737.1869358868315,73.4717163189869,39382.41535259958,120.89653187501837,8260781.7318038335,481118.64433661423,81031329.8063127,1001.4293368606393,27754406.939221486,5506219.403911873,11183887.865726165,2181654.145682871,4777.184204443344,34405999.00924595,11968842.487710733,15458984.884834746,48245638.85145238,3206.191841512582,0.0,0.0,0.0,0.0,157.1625868784734,33.76218456778683,570.2641907505943,921.5518782300456,80.65272034721839,555.7587954852211,354.06964405690894,467.4786813732474,220431.30631083573,0.9906661701981022,1.0049468235510248,0.0,1.012322804468586,0.9936654186582345,0.0,0.0,0.0,1.4334514813030566,115.73654770993357,767.5707750080167,148.09887942518407,164.31196575136693,0.0,0.0,0.0,0.0,0.0,0.0,16.762568068414115,3586.157900232822,18.22800111128639,5821.702848553769,64843.79255866725,65712.69144479858,1.9789495425929982,31.748210984101668,258532.21474885597,127140.20621937628,633148.064489966,84127.7163261492,40972717.549277626,25360546.915225416,56623386.86602061,11695300.318314295,BENIGN
192.168.1.243-10.0.0.22-14545-80-6,192.168.1.243,14545,10.0.0.22,80,2026-09-09 10:02:14,21355394.52144315,8.052895221625638,11.070302418628698,644.5790915944517,243.671772596328,345.3904405402207,5.0475892239287585,20.35799263825023,246.09922718230487,606.5421157013883,4.623846995456147,743.142734722568,19.902770777399613,24006.13742242446,249.63261248735515,9787315.536454152,6091856.3872995395,112864655.94692186,653.0480253490666,111668683.80452392,5404410.894326452,3097592.1549789957,42231680.62409534,5295.033696342859,86420942.65194592,1568021.6298265348,19625658.973226428,104807072.43159439,9025.398705560423,0.0,0.0,0.0,0.0,28.23443992132062,153.9350777285843,754.0848428292785,1326.719432745683,53.80185702410992,400.40021461759943,69.41293305314666,5.125536239134398,105522.23655727948,0.9996185465823396,1.0051632704644324,0.0,0.0,1.0018254970763554,0.0,0.0,0.0,1.151436983406261,843.1367200586728,499.27599437678714,203.9801924140092,81.28877827486903,0.0,0.0,0.0,0.0,0.0,0.0,4.973669691071401,3849.0815569591578,6.985644983937423,1958.3483833333894,28743.298585372075,29107.84901831017,4.965334291744316,43.97715413421472,57566.27769758242,202910.77629925933,563968.9983320455,47443.511886657856,32599891.18239711,4721970.4222233575,116624626.00802869,14392008.446134048,BENIGN
192.168.1.80-10.0.0.21-48681-80-6,192.168.1.80,48681,10.0.0.21,80,2026-09-09 10:03:21,852173.9959552494,10.974718783748216,7.0157770531228785,3579.3353172753086,4521.46038965998,862.9737237076174,38.996653824865135,548.8527788243268,106.09807584816885,507.40986523920856,39.9849344647135,712.7905268287129,299.1911056379863,67610.01610424036,22.985549781932278,4651995.435878624,10243661.914672654,15319939.013079444,325.261605530872,117250856.05810753,21307562.47340953,12146620.722141901,51854817.83159393,6203.4759854716,67027505.18921474,24470759.05749913,14668504.724904817,28905723.15593738,1250.7927538872277,0.0,0.0,0.0,0.0,86.3706344210102,96.83596643188852,1269.106674765428,510.63531218738063,79.0809757495543,1326.7633301901017,321.59910016234096,190.1572707357045,32998.849704970475,0.0,0.9859336615034215,0.0,1.0119565929405743,0.9961435477423344,0.0,0.0,0.0,2.543659502082901,753.6106245024046,519.2205943004822,500.7797773256856,93.23805040410444,0.0,0.0,0.0,0.0,0.0,0.0,19.706871736594476,2866.0196346107577,20.66310864060428,7212.210984613567,66663.75630387555,29104.273675555738,1.989681881188612,31.862510020197167,170694.308796019,200338.8787945343,931663.0963210473,341736.60146846535,17520205.463627536,27836694.36359804,32719676.96421029,15055934.234352048,BENIGN
192.168.1.95-10.0.0.27-7995-80-6,192.168.1.95,7995,10.0.0.27,80,2026-09-09 10:04:28,18102126.36088378,-18.55716435279834,-977.8352660065729,1025.236096893482,-99891.30332046255,167.52431365057197,61.62880459306892,119.97126301470182,6.00467041438344,1011.2051670704255,23.439488898220844,217.62168043752905,1321.2898660790431,-19805751.040237814,-94085.30996441911,246319.5736978904,585326.6294563739,11064482.551490232,-8586099.2315725,-6743578.191653175,6747085.539678531,1840703.7444923348,6871638.57667086,-4357743.716644574,2271065.3346260926,1548314.0656888748,-775560.0148342571,6909523.625049808,-1034154.7164325535,0.03472522550330429,-0.23681422950937786,0.007274996402663977,0.07075731396830931,-66016.20988937802,46067.44031150235,-58529.70127739057,-49398.93821015156,-4.58582377527598,-77.60222253783525,221.84173439100738,434.6826095407695,684743.9557636613,0.012311399025115704,0.013912737701589854,-0.009498972119447242,0.1660170073768921,0.2182694234868231,0.0632623217955396,0.0016565737940077447,-0.010859473893064521,0.8043116286725343,119.76209663403594,-1.8469081993669434,458.01448650135967,72635.91382545693,0.32363428540655187,-0.3307203940175941,-0.08611559417189638,0.049035108505356986,0.4173860604679404,-0.22480088308540833,-19.235722726394364,-1798.0072130870246,-441.1966503515839,450717.12979079905,-13428.00256997633,1785.718323146657,185.21874278275985,28986.72564258343,-163254.73546637932,-521987.8450648257,767931.6678261089,32350.576009380573,18720796.696388345,-2444168.3179306397,13226140.28279735,7491330.504259057,DoS Hulk
192.168.1.42-10.0.0.5-30163-80-6,192.168.1.42,30163,10.0.0.5,80,2026-09-09 10:05:35,6587258.622821535,2.9766102628135034,2.9994711757501453,112.94856760867216,2221.958859317323,1132.7039582428438,52.81783005370381,524.8259294024195,486.1765482472405,1308.4243612378636,16.016371286015,269.02876976561413,275.2062198976027,13752.255651517153,238.43773617197166,3091511.4625666663,5381016.620839259,51912748.24622664,610.3393959097999,74442010.26149334,29167701.373620674,15733178.692744723,22726091.303065505,5954.5699065655745,98498988.30983424,22558008.370183833,17282841.292607233,30030670.801549707,8686.091559068173,0.0,0.0,0.0,0.0,46.482811378272004,66.10644648111175,584.2046341103894,1201.8334973198016,91.30838448400111,1396.7934671155194,220.5247136305076,173.92404867163174,62666.10949390841,1.0117699396234845,0.9905871370626476,0.0,0.9894514345706261,1.0090266064613718,0.0,0.0,0.0,0.5060695194782635,334.00701547883676,151.92735331422975,324.9343605063765,185.1264144552617,0.0,0.0,0.0,0.0,0.0,0.0,26.742342788266306,383.4931938969108,3.961188450763764,4664.714045001421,29275.46952100621,64850.91352368664,5.960351071572663,43.85502336937884,722175.7658101021,80367.13701179385,203217.36212889792,294423.4658064275,15736928.40688447,27733832.08333251,71263220.41208017,9823420.109573398,BENIGN
192.168.1.90-10.0.0.47-20933-22-6,192.168.1.90,20933,10.0.0.47,22,2026-09-09 10:06:42,2907479.8241848666,-22.236747262171953,-1052.0684860686827,3464.1744287517276,-2817235.215966348,196.33831669881857,61.6710829965521,117.51846267819691,2.357542104481297,1321.324441386088,29.777331960772642,160.6847866021713,421.4769758953891,-19332249.52263744,-89376.1377152064,38897.52748021018,-626006.0868020039,9479401.649050172,-6172350.977626158,-4768045.842436912,7585669.80064997,1761243.5830109431,7421575.812913467,-4354894.366537841,2585609.137554354,1865394.7428368933,-1423709.2696675686,6118380.083708658,-866104.333526874,0.03886501814124544,-0.23195375425016684,0.007849722222242702,-0.00912118568348193,-86455.81202503464,54487.783860284544,-55614.817300963885,-42897.09488323909,-3.1061293858334977,-141.25632226646064,191.50410592124945,442.1797551491528,1651113.9850010178,0.023150766699956256,0.02693775580407098,-0.009747687731196867,0.9189464877794609,0.1849827133540703,0.23350360312561352,0.012916494934287794,-0.011597239252282478,0.7925540791353081,136.95183008284843,-1.07424512868851,388.78681444807444,69040.18795198198,0.3193968619601742,-0.31200738775729636,-0.16965616205217598,0.21000209281230256,0.35105538623213184,-0.20777277094839977,-11.922310253724008,-1912.0384299860327,-360.74442878973696,714233.5328916465,-607.0942549412175,1754.1710020202047,214.69143965270683,30174.561202437784,-147732.97230900085,72923.57560325236,863132.6685248687,63977.061366713766,18921150.17959488,-2131395.4650108013,12918364.31036299,6744482.104133038,SSH-Patator
192.168.1.161-10.0.0.23-12555-21-6,192.168.1.161,12555,10.0.0.23,21,2026-09-09 10:07:49,20075714.94861198,-31.086638242653898,205.57319077267195,3785.694221767014,-80919.26641397146,169.76427794113835,67.97519898196654,126.26279895601118,21.40050855370724,1203.1816535839766,29.76157361874071,172.6812780482035,-22.06023172655739,-18650850.7120325,-110837.283310789,610916.358359606,-867222.4460623446,8617406.124053886,-660367.7187362143,-3985916.898726195,7748700.565539042,2010913.735744168,7655921.866534718,-4140409.128065908,3276783.036388006,1721862.072878702,-960943.2238178859,6129173.425948309,-1367595.2003022062,0.01636883459617899,-0.22003607217797755,-0.0028458036326162723,-0.046509909673495144,-68471.46612300236,56749.46944663386,-62212.78173994699,9808.633709211606,-2.5785941202217835,-319.55578451489407,170.0826606705847,456.86275697221714,613825.6275995115,0.01974243905930775,0.03391133862416602,-0.00836124872651537,0.8824808893950291,0.216719399565932,-0.23749906210644883,0.016918611820509667,-0.011046540511544292,0.8244852329430817,121.13310280536457,9.708067766357736,481.35043415482403,67565.45884474041,0.39259763375142653,-0.3011798097034998,-0.14374597393477764,0.14370999665194642,0.3908476708880334,-0.1867858902106744,-59.686988650774346,-1605.9000613013948,-350.03490675467833,727163.9102494626,15164.791603269967,2581.2259622299143,188.68623089876294,30925.075433567737,-95808.71755709825,145570.9306500889,790055.2009074246,26087.89126854566,18082733.636974435,2411628.0706602614,13079059.606330026,34734071.196592316,FTP-Patator
192.168.1.70-10.0.0.16-15745-80-6,192.168.1.70,15745,10.0.0.16,80,2026-09-09 10:08:56,20088154.876730867,5.979726965519995,11.080964428895381,3068.838095370759,3777.1964124467886,381.5081677473797,97.16658240642086,423.3650970661684,465.4441168739444,719.8149456201577,75.87843040353937,638.3484130159794,334.91077435783575,61509.102065814885,117.24481784014554,26303721.886967063,11193233.172965847,56302002.408681326,333.5659782596955,27016803.533727452,25022054.733495433,16430910.102333516,86407802.00439538,6112.791539081353,64362079.52190452,27884797.716093455,3095004.7373347622,118009625.58036733,5562.1523871281615,0.0,0.0,0.0,0.0,145.38240006321843,136.15954453127065,1982.8886063050131,1802.5142569339496,88.86497915115878,1278.382354564175,349.47553948310156,279.4257854362215,141071.05396388986,0.0,0.9927076571050308,0.0,0.0,0.9940709973216643,0.0,0.0,0.0,2.1103328794953504,297.59303055324483,535.4353244226363,377.2559806555213,80.25382949361625,0.0,0.0,0.0,0.0,0.0,0.0,20.777729173811586,1675.050121576345,19.993404313000035,2765.850674998795,66784.36488945426,28829.415291442965,1.9948585993676309,32.03609993617358,42314.788259863344,139071.14854559602,868298.2126352936,378561.0996296612,235010.84809875235,6376774.038279901,34423547.55202651,28461621.65423147,BENIGN
192.168.1.70-10.0.0.41-20230-53517-6,192.168.1.70,20230,10.0.0.41,53517,2026-09-09 10:09:03,19673620.422171,-46.505914881415215,-899.5301664048884,3633.294028042199,-262038.06847179518,163.48635284292334,60.093414857970274,134.3386138292924,29.068509223502666,1153.982462294763,31.958611742254597,188.97983507297343,-842.8098857852256,-16870144.548323687,-103957.27923005991,-8159637.382861224,-825795.1577504403,9035127.202088261,473126.3838324014,-4696971.010101115,7592690.789029947,2090569.2166346298,7682533.8812108245,-3167250.4910306344,2802781.457691768,3179873.917429286,-1051927.2293502,5590504.859502852,-1467683.6043094837,0.02456052437922383,-0.2518557841580513,0.0029473670617925353,0.018262991333503675,-71103.8105832423,47654.08692060913,-73937.79431546768,48802.87104592746,-1.8025395032596627,-150.16844341484818,172.60633801980993,485.94038993645916,-2985106.32279609,0.010509070731188463,0.020443302467184513,-0.00898850418025133,-0.07383789901874377,0.2253672121133281,0.23311485709010285,0.007210814995039998,-0.009993235318169499,0.7634117193465121,119.24563787852837,9.662619773626957,450.7615054464345,72753.43181928789,0.5651486221792155,-0.30714248375439707,-0.06690666833145589,0.1802054607360857,0.4227876134142336,-0.20743315737013326,-13.56455619469614,-1800.3400129097547,-379.12334307996485,553277.6611923495,14551.579780346812,2649.0676284742763,160.84088211806326,29382.04270872008,-161470.51083372787,297441.62580879923,894281.6256825076,56220.45391905729,17610836.724907853,2776681.820281227,14334617.375270667,-32779189.220992666,Bot
